Eesnimi;Perenimi;Sugu;Sünniaeg;Surnud;Asula;Tüüp;Maakond
Adelina;Viks;N;1989-06-04;0000-00-00;Liinamäe;küla;Põlvamaa
Enrico;Vasiliev;M;1937-06-17;0000-00-00;Mäetaguse;küla;Lääne-Virumaa
Bruno;Leppik;M;1944-05-20;0000-00-00;Poka;küla;Saaremaa
Natalja;Muru;N;1952-05-12;0000-00-00;Roobi;küla;Võrumaa
Keitlin;Lukin;N;1963-08-27;2008-01-16;;;
Laura-Liisa;Kisseljov;N;1919-04-05;0000-00-00;Varesmäe;küla;Põlvamaa
Kaido;Kolk;M;1909-07-03;0000-00-00;Jõeveere;küla;Põlvamaa
Margarita;Talts;N;1935-06-25;0000-00-00;Tõusi;küla;Pärnumaa
Jegor;Lauri;M;2015-11-18;0000-00-00;Vana-Kariste;küla;Viljandimaa
Tatiana;Pihelgas;N;2003-11-05;0000-00-00;Haanja;küla;Võrumaa
Oksana;Salumäe;N;1949-08-23;0000-00-00;Vilima;küla;Hiiumaa
Rait;Kaasik;M;1990-01-28;1994-11-28;;;
Fjodor;Zaitsev;M;1913-10-30;1929-12-03;;;
Gea;Kivilo;N;1992-08-15;0000-00-00;Vao;küla;Lääne-Virumaa
Karolin;Merisaar;N;1934-11-21;0000-00-00;Kunda;Linn;Lääne-Virumaa
Patrick;Põder;M;1910-05-25;1929-09-17;;;
Silva;Laas;N;1919-11-10;1981-05-07;;;
Sigrid;Renoir;N;2009-03-26;2012-12-22;;;
Madis;Peterson;M;1983-03-20;0000-00-00;Tõugu;küla;Lääne-Virumaa
Gerly;Luiga;N;1905-05-26;1939-10-28;;;
Filipp;Gromov;M;1924-11-26;0000-00-00;Varja;küla;Ida-Virumaa
Anneliis;Volkov;N;1914-03-01;1916-08-23;;;
Terje;Ruus;N;1933-09-10;0000-00-00;Mägari;küla;Läänemaa
Uku;Kass;M;1939-05-21;1964-01-11;;;
Andra;Zahharov;N;2006-05-26;0000-00-00;Saarde;küla;Võrumaa
Robin;Täht;M;1983-11-03;0000-00-00;Väänla;küla;Läänemaa
Katri;Sild;N;2018-08-27;0000-00-00;Naistevälja;küla;Lääne-Virumaa
Alari;Ruus;M;1955-01-19;0000-00-00;Savalduma;küla;Lääne-Virumaa
Silja;Vähi;N;1937-02-27;1965-11-28;;;
Alexandra;Koger;N;2018-10-29;2019-10-28;;;
Sofija;Ševtšenko;N;2018-05-17;2019-01-05;;;
Arvo;Sibul;M;1963-05-01;0000-00-00;Rannaküla;küla;Läänemaa
Silvar;Green;M;1999-09-14;2003-07-31;;;
Sven;Nurm;M;1969-09-16;0000-00-00;Andi;küla;Lääne-Virumaa
Geidi;Ilves;N;2012-12-07;2015-11-01;;;
Matti;Sander;M;1998-10-08;0000-00-00;Ole;küla;Hiiumaa
Morten;Lõhmus;M;1925-01-15;1997-03-24;;;
Mailis;Kirsipuu;N;1908-05-26;0000-00-00;Väiko-Tiilige;küla;Võrumaa
Aleksander;Kostin;M;1931-11-29;1937-01-07;;;
Janely;Kant;N;1946-02-08;2002-10-02;;;
Isabel;Fedorov;N;2002-04-11;2005-10-10;;;
Ott;Tuisk;M;1944-03-13;2003-08-08;;;
Katariina;Kissa;N;1914-05-26;0000-00-00;Nurtu-Nõlva;küla;Raplamaa
Erkki;Pihlak;M;1961-06-14;0000-00-00;Jõhvi;linn;Ida-Virumaa
Kerli;Mäe;N;1978-10-02;0000-00-00;Lehmja;küla;Harjumaa
Merlyn;Suvi;N;1985-01-12;0000-00-00;Nõmmküla;küla;Saaremaa
Eleanora;Komarov;N;2013-05-02;0000-00-00;Roodu;küla;Ida-Virumaa
Risto;Mihhailov;M;1942-07-11;2013-11-30;;;
Patricia;Õun;N;1966-01-27;1972-01-11;;;
Vlada;Põdra;N;1978-08-25;0000-00-00;Ulitina;küla;Põlvamaa
Matvei;Iljin;M;1925-05-12;0000-00-00;Tipu;küla;Viljandimaa
Anželika;Danilov;N;1917-08-06;0000-00-00;Kullaga;küla;Tartumaa
Maidu;Eller;M;1972-03-13;0000-00-00;Mügra;küla;Põlvamaa
Ene;Ševtšenko;N;1943-11-16;0000-00-00;Suuremetsa;küla;Põlvamaa
Joonas;Tamme;M;1984-04-07;2014-08-18;;;
Evita;Rumjantsev;N;1911-11-02;0000-00-00;Ereste;küla;Viljandimaa
Tõnis;Pruul;M;1966-02-14;0000-00-00;Äksi;alevik;Tartumaa
Liina;Ott;N;1955-02-22;1989-01-09;;;
Ljubov;Viik;N;1956-04-28;0000-00-00;Kaalepi;küla;Järvamaa
Krete;Maslov;N;1948-08-08;1973-11-21;;;
Hanna-Liina;Teder;N;1923-06-09;1951-07-02;;;
Andri;Kolesnik;M;1959-09-15;0000-00-00;Rääski;küla;Raplamaa
Aap;Treial;M;1960-07-23;0000-00-00;Tüki;küla;Tartumaa
Mait;Roosileht;M;1919-08-14;1966-09-12;;;
Saveli;Anton;M;1920-08-26;1983-07-23;;;
Raneli;Sild;N;2001-02-03;0000-00-00;Männisalu;küla;Põlvamaa
Karina;Sillaots;N;1932-04-02;1952-12-17;;;
Artjom;Rand;M;1962-07-12;1982-08-27;;;
Nataly;Sild;N;2010-06-06;2016-03-21;;;
Carl;Ivask;M;1959-08-15;2002-11-10;;;
Renata;Mercklin;N;1997-03-15;0000-00-00;Keravere;küla;Läänemaa
Kaspar;Oras;M;1903-06-21;1977-05-18;;;
Gerdi;Tomson;N;1985-02-05;1992-11-19;;;
Renata;Susi;N;1905-12-22;1949-09-24;;;
Peep;Põllu;M;1987-04-20;0000-00-00;Odivere;küla;Jõgevamaa
Marija;Gusev;N;1995-03-30;0000-00-00;Miiduranna;küla;Harjumaa
Daniel;Saar;M;1974-12-05;1975-05-19;;;
Olari;Pent;M;2015-12-29;2018-08-17;;;
Jalmar;Mandel;M;1962-04-15;0000-00-00;Kalvi;küla;Ida-Virumaa
Villem;Tilk;M;1932-03-01;1991-01-25;;;
Endrik;Schmidt;M;1936-09-29;0000-00-00;Kärgula;küla;Võrumaa
Gerli;Puusepp;N;1955-07-01;0000-00-00;Tiirimetsa;küla;Saaremaa
Riin;Sokolov;N;1912-04-18;0000-00-00;Vilima;küla;Hiiumaa
Iti;Jalakas;N;2014-07-25;0000-00-00;Kangrusselja;küla;Saaremaa
Karoli;Mölder;N;1930-02-03;0000-00-00;Lüganuse;alevik;Ida-Virumaa
Karl Johan;Vaht;M;1992-02-01;0000-00-00;Öötla;küla;Järvamaa
Alan;Mäe;M;2002-09-25;0000-00-00;Tobraselja;küla;Viljandimaa
Anne-Mai;Ojala;N;1920-11-29;0000-00-00;Nautse;küla;Saaremaa
Aron;Reinsalu;M;1957-10-20;0000-00-00;Korjuse;küla;Lääne-Virumaa
Margareth;Kroon;N;1971-03-01;1988-05-24;;;
Joel;Kelder;M;2001-06-09;2018-11-20;;;
Andre;Alekseev;M;1966-07-25;2002-04-17;;;
Maire;Kudrjavtsev;N;1922-08-24;1969-07-11;;;
Geidi;Kasemets;N;1976-02-21;1995-04-23;;;
Aurelia;Pärna;N;2013-10-26;2014-10-01;;;
Karl-Erik;Kotkas;M;1984-10-14;1997-03-02;;;
Keily;Bell;N;1983-06-14;2014-07-10;;;
Mari-Liis;Anton;N;1940-01-27;1972-07-26;;;
Rihard;Kadak;M;1921-09-27;0000-00-00;Kuusiku-Nõmme;küla;Raplamaa
Valdo;Nõmmik;M;1908-07-30;0000-00-00;Kurista;küla;Jõgevamaa
Matthias;Kool;M;1906-04-07;0000-00-00;Sulupere;küla;Raplamaa
Sille;Lukk;N;1995-08-29;0000-00-00;Moe;küla;Lääne-Virumaa
Anna-Maria;Käsper;N;1970-11-02;1973-07-22;;;
Avely;Adamson;N;1990-10-22;2007-12-26;;;
Rahel;Kass;N;1912-11-04;1943-01-12;;;
Eveli;Heinsalu;N;1999-04-01;2016-07-12;;;
Alla;Puusepp;N;1943-10-05;2003-03-28;;;
Karoliina;Must;N;1970-04-02;0000-00-00;Puhatu;küla;Ida-Virumaa
Ekke;Pulk;M;1951-06-19;0000-00-00;Kaiu;alevik;Raplamaa
Heidy;Kase;N;1982-01-28;0000-00-00;Palatu;küla;Pärnumaa
Elis;Adamson;N;1902-10-28;2017-04-21;;;
Ellen;Oras;N;1967-11-13;1980-09-09;;;
Denis;Heinsalu;M;1965-06-19;0000-00-00;Marksa;küla;Pärnumaa
Melany;Kivi;N;1942-10-10;1970-10-29;;;
Reelika;Baskin;N;1997-10-14;0000-00-00;Pärlijõe;küla;Võrumaa
Kreete;Laas;N;2018-07-30;2019-07-19;;;
Kaari;Lukin;N;1995-11-10;2000-10-06;;;
Liina;Kärner;N;1921-04-14;1938-05-01;;;
Kalvi;Gorbunov;M;1977-11-02;0000-00-00;Obinitsa;küla;Võrumaa
Valeria;Andreev;N;2011-12-09;2013-07-01;;;
Imre;Fomin;M;1969-01-15;1993-11-22;;;
Yulia;Nikitin;N;1975-04-11;0000-00-00;Piissoo;küla;Harjumaa
Marelle;Lätt;N;1910-01-14;0000-00-00;Luiste;küla;Raplamaa
Rodion;Mägi;M;1921-09-29;1933-09-27;;;
Ronan;Saks;M;1919-12-12;1931-09-04;;;
Age;Safronov;N;1981-09-08;2016-10-14;;;
Melissa;Kozlov;N;1941-01-17;1953-02-11;;;
Juulia;Volkov;N;1915-02-28;0000-00-00;Sänna;küla;Võrumaa
Janelle;Veski;N;1996-03-08;2014-12-08;;;
Anna-Liisa;Soosaar;N;1902-04-23;1923-12-22;;;
Vladimir;Orav;M;1983-12-20;1986-09-21;;;
Fredy;Koppel;M;1994-06-17;2019-06-24;;;
Taavi;Hallik;M;1976-06-06;2016-10-07;;;
Ander;Uus;M;1922-01-23;0000-00-00;Rohusi;küla;Harjumaa
Regina;Oras;N;1991-07-04;0000-00-00;Haapsalu;Linn;Läänemaa
Sonja;Jefimov;N;1989-12-28;0000-00-00;Poksi;küla;Tartumaa
Ekke;Muru;M;2017-07-14;2019-03-15;;;
Merlin;Kuusik;N;1905-03-07;0000-00-00;Pulli;küla;Pärnumaa
Egor;Orav;M;1956-08-03;2000-10-08;;;
Inna;Schmidt;N;1926-04-05;0000-00-00;Kaloga;küla;Võrumaa
Maarek;Jaakson;M;2006-09-25;0000-00-00;Põdrangu;küla;Lääne-Virumaa
Sirli;Raadik;N;1937-06-29;1956-10-31;;;
Egle;Kostin;N;1904-01-17;1995-11-09;;;
Kristiin;Koval;N;1948-06-30;1995-06-13;;;
Oksana;Pajula;N;1969-08-20;1992-07-19;;;
Külli;Hunt;N;1993-08-02;2002-05-16;;;
Hans;Gerassimov;M;1950-09-24;0000-00-00;Pragi;küla;Põlvamaa
Ruth;Uustalu;N;1905-05-14;0000-00-00;Lõbembe;küla;Hiiumaa
Valeri;Bogdanov;M;1984-08-06;2014-09-08;;;
Janeli;Konstantinov;N;1922-08-04;0000-00-00;Kaubi;küla;Saaremaa
Sten-Markus;Tuulik;M;1988-03-24;0000-00-00;Loomse;küla;Pärnumaa
Tarvi;Kikkas;M;1994-11-14;2018-08-22;;;
Riho;Lõhmus;M;1958-04-17;0000-00-00;Härämäe;küla;Võrumaa
Viktor;Roots;M;2009-07-16;2015-02-15;;;
Kaidar;Gorbunov;M;1948-12-06;0000-00-00;Varesmäe;küla;Põlvamaa
Stenver;Käsper;M;1950-04-19;1972-11-22;;;
Doris;Sisask;N;1943-02-18;0000-00-00;Puusepa;küla;Võrumaa
Marcos;Bell;M;1968-06-13;1995-03-27;;;
Dan;Koger;M;1991-10-27;2002-11-20;;;
Kerdo;Kasemaa;M;1906-03-23;1942-12-08;;;
Karl Oskar;Antonov;M;1973-10-09;0000-00-00;Võrevere;küla;Järvamaa
Anne-Ly;Kokk;N;1958-05-11;1998-06-03;;;
Karolin;Kurg;N;1942-04-28;0000-00-00;Kaera;küla;Jõgevamaa
Ermo;Pihelgas;M;1988-11-20;0000-00-00;Vorbuse;küla;Tartumaa
Melissa;Vasiliev;N;1979-10-21;0000-00-00;Alaküla;küla;Läänemaa
Rene;Poljakov;M;1966-01-06;0000-00-00;Aasukalda;küla;Lääne-Virumaa
Saara;Viira;N;1981-07-19;1986-04-16;;;
Julija;Simm;N;1997-05-08;0000-00-00;Leerimetsa;küla;Hiiumaa
Katharina;Pärnpuu;N;2012-11-08;0000-00-00;Vaida;alevik;Harjumaa
Renee;Rüütel;M;1981-12-17;0000-00-00;Londi;küla;Valgamaa
Regiina;Saul;N;1994-02-24;2015-03-29;;;
Birgit;Kroon;N;1903-09-27;1965-06-21;;;
Kristine;Žukov;N;1937-03-29;2009-08-18;;;
Marten;Suits;M;1913-04-06;1922-11-29;;;
Loora;Põdra;N;1916-09-06;1982-09-25;;;
Alexandre;Kallas;M;1998-10-05;2011-04-20;;;
Armo;Bõstrov;M;1994-10-18;2015-11-10;;;
Vladislav;Saul;M;1977-01-29;2012-05-09;;;
Nicole;Maripuu;N;2018-08-02;2019-08-07;;;
Henri;Hunt;M;1909-11-02;1985-06-03;;;
Jana;Kulikov;N;1923-08-13;1981-10-02;;;
Alexandra;Gavrilov;N;1998-06-14;0000-00-00;Jauni;küla;Saaremaa
Kadi;Medvedev;N;1943-06-13;1981-11-11;;;
Renata;Kallas;N;1995-07-30;2014-01-08;;;
Silver;Hallik;M;1902-08-17;1919-03-21;;;
Egert;Lauri;M;1906-03-09;0000-00-00;Selja;küla;Pärnumaa
Gerly;Lebedev;N;1977-05-11;0000-00-00;Vääna-Jõesuu;küla;Harjumaa
Nicole;Klaas;N;2001-03-15;2017-12-01;;;
Tormi;Anderson;M;1976-07-25;0000-00-00;Madila;küla;Harjumaa
Tarvo;Koger;M;2018-03-07;2019-09-26;;;
Marin;Reinsalu;N;1974-04-03;2004-02-15;;;
Frederik;Lauri;M;1937-09-26;0000-00-00;Rebasmäe;küla;Põlvamaa
Daniel;Kalda;M;1933-03-30;0000-00-00;Selja;küla;Lääne-Virumaa
Merilin;Talts;N;1964-09-20;1965-10-21;;;
Dan;Sokk;M;1916-07-31;0000-00-00;Kunda;Linn;Lääne-Virumaa
Timo;Rohtla;M;1976-12-21;0000-00-00;Suure-Ahli;küla;Läänemaa
Mattis;Alekseev;M;1963-11-17;1983-10-18;;;
Elina;Vares;N;1932-12-30;1959-11-03;;;
Agnes;Liblik;N;1918-02-05;1968-08-16;;;
Karl Markus;Rebane;M;2006-03-18;2007-08-25;;;
Anfissa;Markson;N;1967-07-22;2010-12-18;;;
Sergey;Niit;M;1903-10-31;1976-06-26;;;
Kaido;Suits;M;1901-01-20;0000-00-00;Tõrva;Linn;Valgamaa
Kerdo;Annus;M;1987-06-09;2010-12-10;;;
Märt;Kivimäe;M;1966-09-10;0000-00-00;Haavakivi;küla;Jõgevamaa
Roland;Erik;M;1934-12-25;0000-00-00;Liikatku;küla;Jõgevamaa
Sören;Kokk;M;1943-11-14;2017-02-17;;;
Olev;Gontšarov;M;1970-08-14;2012-03-08;;;
Jennifer;Lapin;N;1979-09-14;1986-05-06;;;
Tõnu;Stepanov;M;1918-10-30;1930-08-10;;;
Keitlin;Jeršov;N;1939-05-19;0000-00-00;Pahavalla;küla;Saaremaa
Nika;Vasiliev;N;2002-04-28;2003-09-12;;;
Jörgen;Kivistik;M;1930-11-18;0000-00-00;Tartu;Linn;Tartumaa
Anders;Medvedev;M;1991-07-22;2009-10-23;;;
Natali;Egorov;N;1968-03-25;0000-00-00;Santovi;küla;Järvamaa
Otto;Powell;M;2005-02-22;2009-06-17;;;
Angelina;Silm;N;2014-07-21;2017-12-15;;;
Hanna-Liina;Kikkas;N;1905-03-25;1952-07-30;;;
Silver;Mägi;M;1935-02-12;1996-10-05;;;
Laura Liisa;Koval;N;1956-06-26;2001-06-17;;;
Monika;Lindgren;N;1912-08-04;1974-05-05;;;
Dagmar;Raid;N;1939-05-06;1954-10-08;;;
Valdur;Lipp;M;2000-03-04;2012-06-18;;;
Svetlana;Rand;N;1951-10-26;0000-00-00;Saarjärve;küla;Jõgevamaa
Margaret;Palm;N;1974-12-18;2009-07-01;;;
Kaimar;Simm;M;2002-11-20;2004-10-23;;;
Karl Kevin;Volkov;M;1991-04-03;1993-03-30;;;
Aivar;Ruus;M;2002-11-03;2003-12-22;;;
Aivar;Uustalu;M;1912-08-23;0000-00-00;Kellassaare;küla;Ida-Virumaa
Cristofer;Pruul;M;1951-07-10;0000-00-00;Põgari-Sassi;küla;Läänemaa
Sabrina;Pettai;N;1956-08-21;0000-00-00;Petrakuudi;küla;Võrumaa
Marius;Kapp;M;1971-10-11;2013-01-26;;;
Kaili;Heinsoo;N;1963-07-31;0000-00-00;Kupu;küla;Harjumaa
Carolin;Sarv;N;1936-01-31;0000-00-00;Tammsaare;küla;Võrumaa
Arno;Säde;M;1910-02-12;1953-06-19;;;
Jarno;Mägi;M;1963-07-02;0000-00-00;Kuldre;küla;Võrumaa
Milena;Saks;N;2004-10-02;0000-00-00;Tammiku;küla;Lääne-Virumaa
Tanel;Täht;M;1951-11-03;1990-04-29;;;
Magnus;Reimann;M;1983-01-08;1993-09-26;;;
Hannabel;Oras;N;1961-01-18;2010-01-25;;;
Kaari;Heinsalu;N;1958-06-04;0000-00-00;Savka;küla;Tartumaa
Urmo;Teras;M;1930-04-23;0000-00-00;Anijala;küla;Saaremaa
Indrek;Fomin;M;1909-04-05;1960-06-28;;;
Samanta;Marksoo;N;1936-09-14;0000-00-00;Ruuna;küla;Valgamaa
Kristlin;Lill;N;1969-06-08;2019-01-21;;;
Arabella;Bõstrov;N;1961-05-04;2018-08-23;;;
Raigo;Tomson;M;2011-08-03;0000-00-00;Sakudi;küla;Võrumaa
Gennadi;Kuningas;M;1990-06-01;2008-05-27;;;
Merlyn;Tammet;N;2002-06-23;2018-09-02;;;
Riin;Klein;N;1915-04-22;1940-07-28;;;
Anna Liisa;Kalinin;N;1991-08-29;2002-10-13;;;
Hanno;Taal;M;1933-03-30;0000-00-00;Lõu;küla;Saaremaa
Krista;Pikk;N;1942-10-30;0000-00-00;Kaasikvälja;küla;Ida-Virumaa
Violetta;Laan;N;1980-10-04;0000-00-00;Raudsepa;küla;Valgamaa
Olivia;Põder;N;2001-07-17;0000-00-00;Liiva;küla;Saaremaa
Terje;Sikk;N;1945-09-12;0000-00-00;Helda;küla;Raplamaa
Lisanne;Uus;N;1970-02-12;0000-00-00;Kullenga;küla;Lääne-Virumaa
Kauri;Mironov;M;1914-08-18;0000-00-00;Omedu;küla;Jõgevamaa
Anastassija;Olesk;N;1947-05-16;2017-03-16;;;
Raivo;Hoffmann;M;1954-09-20;0000-00-00;Viiri;küla;Hiiumaa
Tenno;Lääne;M;1933-04-27;2003-05-03;;;
Renata;Siim;N;2018-05-28;2019-06-04;;;
Albina;Bõstrov;N;1953-04-11;1992-04-18;;;
Kadri-Liis;Truu;N;1916-12-17;0000-00-00;Vanamõisa;küla;Valgamaa
Ruben;Paal;M;2007-01-15;2019-08-19;;;
Erko;Koitla;M;1937-04-14;0000-00-00;Kõveriku;küla;Ida-Virumaa
Karmen;Mihhailov;N;1926-05-24;0000-00-00;Verevi;küla;Tartumaa
Kristel;Roosileht;N;1919-09-09;0000-00-00;Kaloga;küla;Võrumaa
Stiina;Fedorov;N;1941-12-14;0000-00-00;Kangru;küla;Raplamaa
Martha;Viik;N;1931-10-20;1959-03-25;;;
Maarja-Liisa;Iljin;N;1984-11-20;2015-01-03;;;
Ramon;Mäeots;M;1919-06-29;1952-04-27;;;
Anu;Raidma;N;1902-02-12;0000-00-00;Vissuvere;küla;Viljandimaa
Tiit;Arrak;M;1937-05-03;0000-00-00;Lannuste;küla;Läänemaa
Janete;Loginov;N;2002-12-15;0000-00-00;Väike-Nõmmküla;küla;Läänemaa
Markos;Liivamägi;M;1979-02-12;0000-00-00;Männikuste;küla;Pärnumaa
Matthias;Randmaa;M;1959-03-06;1961-05-19;;;
Aarne;Pajula;M;2003-02-24;2018-03-10;;;
Ronald;Loginov;M;2008-10-20;2019-09-15;;;
Tomi;Jaanus;M;1980-03-03;0000-00-00;Vahakulmu;küla;Lääne-Virumaa
Katre;Leis;N;1985-08-10;0000-00-00;Pehka;küla;Lääne-Virumaa
Jaana;Kivistik;N;1973-02-18;0000-00-00;Hiievälja;küla;Saaremaa
Lauri;Tuisk;M;1904-11-30;0000-00-00;Uuearu;küla;Harjumaa
Reena;Remmel;N;1930-04-14;2016-04-02;;;
Carolyn;Kuusik;N;1901-02-16;0000-00-00;Karuse;küla;Läänemaa
Kenneth;Piir;M;1900-08-03;1999-07-25;;;
Eleri;Vasiliev;N;1906-12-04;1983-11-29;;;
Asko;Melnik;M;1907-06-18;0000-00-00;Kõrtsuotsa;küla;Raplamaa
Maarit;Lätt;N;2003-05-02;2013-01-04;;;
Lauren;Reinsalu;N;2017-05-11;0000-00-00;Saiakopli;küla;Lääne-Virumaa
Oskar;Tali;M;1900-09-04;0000-00-00;Rinsi;küla;Saaremaa
Brita;Truu;N;1919-09-15;0000-00-00;Saika;küla;Võrumaa
Kermo;Jõesaar;M;2018-12-25;2019-07-26;;;
Kariina;Abbt;N;1950-12-13;0000-00-00;Muike;küla;Lääne-Virumaa
Inga;Aakre;N;1915-01-19;1987-01-15;;;
Remi;Mironov;M;1939-09-03;1988-10-08;;;
Ayrton;Kolk;M;1946-02-21;0000-00-00;Kirbla;küla;Läänemaa
Kaspar;Soots;M;1985-05-20;2016-05-22;;;
Marit;Ojala;N;1933-07-21;0000-00-00;Kääpa;küla;Jõgevamaa
Violeta;Ader;N;1947-04-24;1999-10-31;;;
Remi;Kasemaa;M;1971-04-14;0000-00-00;Soomõoru;küla;Võrumaa
Kerti;Kallas;N;2000-07-07;2004-01-14;;;
Alla;Tamm;N;1998-10-12;2004-12-22;;;
Rudolf;Lehtla;M;1962-01-11;2005-08-03;;;
Keith;Sisask;M;1994-04-04;1996-04-29;;;
Katri;Toome;N;1939-02-10;0000-00-00;Mõnuvere;küla;Järvamaa
Agnessa;Muru;N;1969-06-02;0000-00-00;Aseriaru;küla;Ida-Virumaa
Elerin;Vill;N;1981-02-01;1993-08-03;;;
Ants;Karpov;M;1995-05-24;0000-00-00;Vantri;küla;Saaremaa
Ursula;Jaakson;N;1922-08-03;0000-00-00;Sadala;küla;Raplamaa
Riin;Fedotov;N;2007-01-12;0000-00-00;Väike-Rakke;küla;Lääne-Virumaa
Maarek;Loorits;M;1919-01-11;1980-04-24;;;
Andry;Abel;M;1900-09-24;1980-10-18;;;
Meriliis;Lepp;N;1940-09-27;1960-08-24;;;
Kairo;Kruglov;M;1927-05-01;1967-01-13;;;
Maarit;Koger;N;1973-02-14;1977-03-16;;;
Christina;Borissov;N;2012-04-18;0000-00-00;Koigu;küla;Võrumaa
Laura-Liis;Jaanus;N;1926-07-20;2009-08-21;;;
Annela;Õunapuu;N;2014-01-09;2017-09-21;;;
Miina;Gorbunov;N;1979-09-08;0000-00-00;Vasknarva;küla;Ida-Virumaa
Piia;Kiis;N;1950-02-11;2019-07-15;;;
Kalmer;Aavik;M;2014-05-17;2019-12-13;;;
Gennadi;Leht;M;1907-05-22;0000-00-00;Villa;küla;Võrumaa
Krislin;Lukin;N;1974-06-01;0000-00-00;Kiidjärve;küla;Põlvamaa
Heiko;Kuuse;M;1974-02-27;0000-00-00;Kaiu;alevik;Raplamaa
Karl Mihkel;Nikiforov;M;1914-04-03;1915-06-19;;;
Andro;Siim;M;1946-11-18;0000-00-00;Randvere;küla;Saaremaa
Taimar;Niit;M;1988-01-18;0000-00-00;Manija;küla;Pärnumaa
Ingrit;Trei;N;1948-07-24;0000-00-00;Kasti;küla;Raplamaa
Sebastian;Tiik;M;1904-04-03;1935-06-29;;;
Anne-Liis;Adamson;N;1918-02-12;0000-00-00;Iila;küla;Lääne-Virumaa
Taago;Mercklin;M;1995-08-01;0000-00-00;Orgmetsa;küla;Järvamaa
Karoli;Tiits;N;1978-11-23;0000-00-00;Austla;küla;Saaremaa
Matis;Bell;M;1971-03-06;0000-00-00;Mäetaguse;küla;Ida-Virumaa
Karl-Hendrik;Sikk;M;1982-08-23;0000-00-00;Jõempa;küla;Saaremaa
Liilia;Sisask;N;2013-12-03;2015-01-31;;;
Boriss;Komarov;M;1919-07-18;0000-00-00;Kersalu;küla;Harjumaa
Talis;Štšerbakov;M;1944-05-25;0000-00-00;Liivaküla;küla;Lääne-Virumaa
Aleks;Sulg;M;1972-09-15;0000-00-00;Rusima;küla;Võrumaa
Marit;Soon;N;1993-12-18;2003-04-13;;;
Georgi;Kärner;M;1909-01-15;0000-00-00;Mõisaküla;küla;Läänemaa
Kai;Laan;N;2005-07-23;0000-00-00;Seidla;küla;Järvamaa
Emma;Nikiforov;N;1963-03-17;2002-03-01;;;
Erkki;Maasik;M;1995-10-05;0000-00-00;Idaotsa;küla;Harjumaa
Thomas;Leppik;M;1993-11-17;0000-00-00;Arkna;küla;Lääne-Virumaa
Sirly;Varik;N;1960-11-06;0000-00-00;Treski;küla;Põlvamaa
Elise;Kaur;N;2013-09-08;2017-05-03;;;
Kuldar;Sobolev;M;2007-08-03;0000-00-00;Saluora;küla;Võrumaa
Gabriel;Aas;M;1906-07-15;1925-10-18;;;
Alika;Konstantinov;N;1971-02-16;2004-09-04;;;
Leonard;Abderhalden;M;1927-07-24;2013-04-14;;;
Romek;Klaas;M;1908-10-22;1956-04-29;;;
Sabina;Kondratjev;N;1905-09-07;0000-00-00;Mõrdu;küla;Läänemaa
Tõnu;Kask;M;1980-03-17;1982-09-29;;;
Annika;Ojala;N;1953-03-14;0000-00-00;Metsalaane;küla;Tartumaa
Natalia;Eller;N;1910-10-17;1916-03-14;;;
Elen;Baranov;N;2005-10-10;2006-04-03;;;
Kaire;Hõbe;N;1937-09-19;0000-00-00;Mustakurmu;küla;Põlvamaa
Mari;Paju;N;2001-12-28;0000-00-00;Rimmi;küla;Võrumaa
Daniel;Võsu;M;1991-03-07;2009-08-02;;;
Eero;Liivamägi;M;1975-11-01;1999-09-22;;;
Maiko;Peterson;M;2007-02-10;2019-05-30;;;
Sarah;Kasak;N;2015-03-04;0000-00-00;Salaküla;küla;Ida-Virumaa
Ksenija;Paal;N;1952-08-04;0000-00-00;Ulila;alevik;Tartumaa
Kristjan;Saul;M;1939-11-03;0000-00-00;Mõksi;küla;Võrumaa
Viktorija;Mandel;N;1953-12-24;0000-00-00;Madala;küla;Võrumaa
Liina;Egorov;N;1952-09-25;0000-00-00;Nõmme;küla;Hiiumaa
Anita;Kasemets;N;1998-07-27;2016-03-09;;;
Elis;Sillaste;N;2017-06-09;2019-02-27;;;
Janely;Melnik;N;1962-12-13;0000-00-00;Mäiste;küla;Lääne-Virumaa
Jane;Moor;N;1956-09-30;1987-07-12;;;
Tõnu;Post;M;1991-12-16;2010-12-08;;;
Anna Liisa;Rein;N;1904-04-01;0000-00-00;Meemaste;küla;Põlvamaa
Maido;Rätsep;M;2010-08-07;2015-07-26;;;
Stina;Maksimov;N;1920-09-13;1978-02-10;;;
Kairo;Novikov;M;1974-02-06;2005-10-18;;;
Hedvig;Raamat;N;1985-01-21;2013-08-31;;;
Karl-Kristjan;Kisseljov;M;1930-10-21;0000-00-00;Liiapeksi;küla;Harjumaa
Iris;Kõiv;N;1952-12-06;0000-00-00;Noodasküla;küla;Võrumaa
Tarmo;Jaanson;M;1962-02-20;2019-10-03;;;
Taago;Kütt;M;1983-03-16;2016-05-28;;;
Aire;Matvejev;N;1981-08-01;0000-00-00;Põlva;Linn;Põlvamaa
Kristel;Pihelgas;N;1969-05-01;1999-04-29;;;
Ranar;Kostin;M;1951-08-27;0000-00-00;Kasaritsa;küla;Võrumaa
Gert;Kala;M;1953-10-31;0000-00-00;Kiideva;küla;Läänemaa
Aleksandra;Põder;N;1932-01-12;0000-00-00;Männiku;küla;Harjumaa
Laura;Koit;N;1914-05-14;2018-10-29;;;
